mundesc,codmun,uf,cobatb,cobsbuc,prprenat7,prprenat4-6,prprenat1-3,rzcito,rzmamogr,rzpamc,rzintccmc,rzpaac,rzintccac,prachoacd,prpamcnr,prpaacnr,printmcnr,printacnr,prisab,txsifcong,prcuratb,prcurahans,Cobtetrav1,mescovds,prexodon,prparton,probm15uti,probiiam,ghm,RegBr
Albertina,310140,MG,"36,0%","68,7%","75,3%","16,9%","1,3%","70,3%","42,6%","0,44","2,15","2,60","2,02","52,3%","0,0%","0,0%","0,0%","0,0%","31,0%",,,"100,0%","120,0%","15,92","8,7%","34,1%","10,7%","16,0%",GH5,SE
Além Paraíba,310150,MG,"68,9%","43,5%","31,9%","55,8%","10,7%","55,2%","4,8%","0,18","5,30","2,42","3,48","50,8%","0,0%","0,0%","0,0%","0,0%","48,4%",,"77,3%","100,0%","112,7%","1,39","3,6%","42,2%","11,6%","15,8%",GH3,SE
Alfenas,310160,MG,"58,5%","58,3%","71,9%","21,4%","5,0%","48,3%","46,3%","0,50","4,64","4,92","5,44","48,7%","0,2%","0,2%","0,2%","0,3%","20,6%","0,80","71,7%","100,0%","91,8%","6,00","6,5%","37,9%","7,6%","14,6%",GH3,SE
Alfredo Vasconcelos,310163,MG,"101,5%","20,6%","56,9%","38,8%","2,4%","88,4%","41,9%","0,27","3,53","2,89","2,86","50,2%","0,0%","0,0%","0,0%","0,0%","31,5%",,,,"79,0%","2,38","7,4%","33,9%","9,9%","15,5%",GH5,SE
Almenara,310170,MG,"73,6%","56,5%","43,1%","38,3%","13,9%","76,3%","21,7%","0,12","4,71","1,11","0,97","50,8%","0,0%","0,0%","0,1%","0,0%","49,7%",,"66,7%","93,1%","157,8%","12,40","17,8%","50,6%","17,5%","14,8%",GH4,SE
Alpercata,310180,MG,"146,4%","153,4%","41,7%","43,7%","13,5%","59,1%","17,7%","0,15","3,07","2,11","1,70","44,8%","0,0%","0,0%","0,0%","0,0%","22,5%",,"100,0%","57,1%","161,8%","1,19","5,5%","44,3%","11,8%","16,2%",GH6,SE
Alpinópolis,310190,MG,"94,1%","91,9%","84,6%","11,2%","1,0%","99,8%","52,6%","0,27","5,63","3,46","4,09","48,7%","0,0%","0,0%","0,0%","0,0%","26,5%",,"75,0%","100,0%","108,4%","6,46","5,3%","40,2%","9,8%","15,5%",GH5,SE
Alterosa,310200,MG,"91,0%","81,4%","78,1%","17,8%","2,9%","102,1%","54,2%","0,28","4,30","2,50","3,46","53,2%","0,0%","0,0%","0,0%","0,0%","37,6%",,"100,0%","33,3%","108,3%","2,70","5,8%","34,1%","10,8%","14,3%",GH5,SE
Alto Caparaó,310205,MG,"133,1%","90,6%","67,9%","24,5%","6,3%","71,2%","37,3%","0,16","4,92","2,70","2,93","52,2%","0,0%","0,0%","0,0%","0,0%","29,9%",,,,"126,7%","12,49","4,6%","37,7%","12,0%","15,5%",GH6,SE
Alto Rio Doce,310210,MG,"138,7%","86,9%","47,7%","44,2%","7,0%","60,1%","26,2%","0,25","4,63","2,40","2,44","48,6%","0,0%","0,0%","0,0%","0,0%","37,8%",,"0,0%","100,0%","105,6%","34,56","18,2%","57,5%","11,3%","15,6%",GH6,SE
Alvarenga,310220,MG,"135,0%","45,0%","71,3%","26,9%","1,2%","87,7%","24,8%","0,06","1,43","0,59","0,83","52,0%","0,0%","0,0%","0,0%","0,0%","24,4%",,"75,0%","100,0%","104,6%","3,76","9,2%","39,8%","10,8%","16,3%",GH6,SE
Alvinópolis,310230,MG,"142,6%","122,2%","54,5%","37,0%","6,4%","77,0%","35,3%","0,65","5,95","1,76","2,55","48,5%","0,0%","0,0%","0,0%","0,0%","40,6%",,"100,0%",,"105,1%","7,17","7,1%","49,4%","13,8%","16,4%",GH6,SE
Alvorada de Minas,310240,MG,"98,2%","99,6%","36,2%","54,6%","6,9%","101,9%","57,6%","0,36","5,24","1,97","2,01","53,1%","0,0%","0,0%","0,0%","0,0%","29,7%",,"100,0%","100,0%","133,3%","19,10","9,0%","72,1%","10,6%","15,7%",GH6,SE
Amparo do Serra,310250,MG,"118,4%","143,5%","76,1%","19,1%","3,2%","70,7%","55,3%","0,80","4,03","1,78","2,05","54,1%","0,0%","0,0%","0,0%","0,0%","25,3%",,"66,7%","100,0%","153,2%","5,29","11,2%","41,7%","11,5%","15,0%",GH6,SE
Andradas,310260,MG,"30,0%","19,9%","86,4%","10,0%","2,8%","78,2%","38,3%","0,28","4,06","2,85","2,58","50,7%","0,0%","0,0%","0,0%","0,0%","24,0%","1,26","83,3%","100,0%","99,3%","0,19","2,9%","21,5%","8,9%","16,5%",GH3,SE
Cachoeira de Pajeú,310270,MG,"99,5%","117,2%","47,6%","39,6%","8,4%","83,5%","12,4%","0,12","5,05","0,60","0,70","50,3%","0,0%","0,0%","0,0%","0,0%","52,0%",,,"100,0%","129,2%","5,69","11,9%","67,0%","13,1%","15,2%",GH6,SE
Andrelândia,310280,MG,"88,5%","67,2%","91,1%","5,7%","2,2%","79,3%","15,7%","0,05","2,95","1,88","2,23","49,4%","0,0%","0,0%","0,0%","0,0%","38,0%","1,84","50,0%","100,0%","124,4%","4,10","6,1%","32,2%","9,2%","16,2%",GH6,SE
Angelândia,310285,MG,"119,5%","103,1%","64,7%","25,3%","6,3%","105,9%","28,5%","0,09","3,16","1,15","0,73","51,2%","0,0%","0,0%","0,0%","0,0%","53,3%",,"100,0%","0,0%","94,0%","0,00","31,1%","64,8%","11,7%","15,7%",GH6,SE
Antônio Carlos,310290,MG,"93,1%","92,2%","61,6%","35,7%","1,2%","83,1%","36,1%","0,35","4,03","2,34","3,42","51,9%","0,0%","0,0%","0,0%","0,0%","34,5%","1,91","50,0%",,"126,7%","7,10","4,1%","38,6%","11,8%","14,9%",GH5,SE
Antônio Dias,310300,MG,"146,2%","107,1%","56,7%","37,2%","5,2%","92,1%","8,8%","0,08","2,72","1,76","1,91","44,8%","0,0%","0,0%","0,0%","0,0%","33,3%",,"71,4%","83,3%","111,0%","7,37","6,1%","56,3%","12,3%","15,7%",GH6,SE
Antônio Prado de Minas,310310,MG,"252,0%","358,6%","81,1%","13,5%","0,0%","133,6%","44,9%","0,47","7,02","4,34","9,42","46,6%","0,0%","0,0%","0,0%","0,0%","48,9%",,,"100,0%","328,6%","2,21","8,3%","44,5%","10,5%","15,8%",GH6,SE
Araçaí,310320,MG,"156,9%","133,5%","42,2%","40,6%","12,5%","81,4%","44,1%","0,42","3,08","2,58","1,89","53,1%","0,0%","0,0%","0,0%","0,0%","41,4%",,"100,0%",,"115,0%","2,65","0,0%","60,0%","10,5%","15,2%",GH5,SE
Aracitaba,310330,MG,"209,4%","145,8%","68,8%","20,8%","2,1%","92,0%","66,7%","0,03","3,78","2,05","2,92","52,3%","0,0%","0,0%","0,0%","0,0%","43,3%",,,,"95,0%","0,00","13,6%","35,0%","10,7%","15,6%",GH5,SE
Araçuaí,310340,MG,"36,3%","6,2%","50,9%","37,2%","8,3%","87,7%","10,1%","0,07","4,13","0,81","0,74","47,4%","0,0%","0,0%","0,0%","0,0%","39,8%","1,81","95,5%","93,2%","108,2%","1,82","19,3%","56,9%","17,0%","17,1%",GH4,SE
Araguari,310350,MG,"41,5%","38,7%","78,9%","17,8%","2,3%","75,1%","5,9%","0,16","4,19","2,29","1,61","39,3%","0,0%","0,0%","0,0%","0,0%","27,2%",,"83,3%","90,6%","99,2%","3,83","3,8%","28,5%","10,2%","18,4%",GH3,SE
Arantina,310360,MG,"148,2%","153,5%","88,8%","11,2%","0,0%","90,5%","31,9%","0,08","3,10","2,64","1,78","55,2%","0,0%","0,0%","0,0%","0,0%","40,4%","2,19",,,"75,7%","0,00","0,0%","30,9%","10,5%","16,1%",GH6,SE
Araponga,310370,MG,"117,7%","94,9%","60,9%","33,7%","3,8%","85,0%","52,0%","0,75","3,77","1,53","2,74","53,2%","0,0%","0,0%","0,0%","0,0%","28,9%",,,,"72,1%","1,60","12,0%","49,5%","11,5%","15,8%",GH6,SE
Araporã,310375,MG,"96,3%","120,3%","72,0%","24,6%","2,8%","109,8%","12,9%","0,15","3,55","3,60","2,28","51,1%","0,0%","0,0%","0,0%","0,0%","29,3%",,"50,0%","70,0%","59,4%","8,02","2,8%","20,6%","12,9%","15,6%",GH5,SE
Arapuá,310380,MG,"139,8%","108,2%","71,4%","20,6%","6,3%","75,6%","23,4%","0,02","2,58","2,20","2,77","53,2%","0,0%","0,0%","0,0%","0,0%","26,7%",,,,"63,0%","4,48","4,0%","41,2%","10,3%","15,2%",GH5,SE
Araújos,310390,MG,"41,2%","58,7%","72,2%","22,2%","4,6%","57,2%","23,6%","0,12","1,64","1,82","2,02","51,1%","0,0%","0,0%","0,0%","0,0%","27,2%",,"100,0%","100,0%","103,0%","1,21","5,8%","47,5%","10,9%","15,7%",GH5,SE
Araxá,310400,MG,"54,4%","69,3%","71,2%","22,3%","4,0%","84,7%","30,5%","0,18","3,79","3,42","2,34","57,7%","0,1%","0,0%","0,0%","0,0%","41,0%",,"88,9%","95,0%","106,4%","8,40","4,2%","26,2%","14,0%","17,1%",GH3,SE
Arceburgo,310410,MG,"107,2%","85,0%","86,4%","11,2%","2,1%","86,5%","43,2%","0,18","1,75","2,63","1,83","53,0%","0,0%","0,0%","0,0%","0,0%","21,2%",,"100,0%","100,0%","92,8%","0,26","8,6%","36,9%","9,6%","15,8%",GH5,SE
Arcos,310420,MG,"65,8%","51,4%","77,7%","17,7%","3,5%","72,8%","46,4%","0,34","5,27","2,14","2,58","43,0%","0,0%","0,0%","0,0%","0,0%","36,1%","1,26","70,0%","83,3%","106,3%","0,33","2,8%","28,7%","12,5%","15,7%",GH3,SE
Areado,310430,MG,"68,2%","20,6%","73,3%","21,6%","4,1%","47,1%","40,5%","0,23","2,97","2,83","3,44","43,8%","0,0%","0,0%","0,0%","0,0%","30,1%",,"100,0%","100,0%","111,5%","0,00","0,0%","31,1%","9,2%","14,8%",GH5,SE
Argirita,310440,MG,"105,1%","86,2%","72,9%","22,9%","2,9%","74,6%","22,0%","0,07","3,90","1,91","3,28","55,0%","0,0%","0,0%","0,0%","0,0%","28,1%",,,,"150,0%","1,86","6,5%","45,1%","10,5%","14,8%",GH5,SE
Aricanduva,310445,MG,"117,1%","62,9%","56,5%","33,0%","8,9%","84,9%","47,8%","0,24","3,24","1,53","1,37","52,2%","0,0%","0,0%","0,0%","0,0%","47,5%",,,,"87,2%","2,54","13,5%","72,3%","11,2%","15,4%",GH6,SE
Arinos,310450,MG,"74,5%","45,3%","63,6%","29,4%","5,2%","92,5%","0,2%","0,17","6,75","0,98","0,46","57,4%","0,0%","0,0%","0,0%","0,0%","53,1%","1,61","62,5%","77,8%","125,4%","8,75","4,5%","55,8%","11,9%","15,4%",GH6,SE
Astolfo Dutra,310460,MG,"109,4%","71,3%","69,2%","28,4%","1,7%","70,7%","31,2%","0,25","5,27","2,13","3,80","49,3%","0,0%","0,0%","0,0%","0,0%","47,4%",,"100,0%",,"104,8%","2,40","7,4%","19,1%","10,0%","19,1%",GH5,SE
Ataléia,310470,MG,"86,3%","48,4%","55,4%","33,9%","9,0%","78,1%","11,9%","0,09","5,28","0,81","0,56","52,8%","0,0%","0,0%","0,0%","0,0%","41,4%",,"69,2%","100,0%","91,5%","0,57","25,0%","62,7%","13,5%","15,4%",GH6,SE
Augusto de Lima,310480,MG,"125,6%","50,4%","73,7%","19,4%","4,0%","120,0%","58,8%","0,31","2,54","1,55","1,46","50,2%","0,0%","0,0%","0,0%","0,0%","25,6%",,"100,0%","100,0%","115,8%","11,48","19,0%","55,1%","13,0%","16,5%",GH6,SE
Baependi,310490,MG,"137,5%","97,9%","79,6%","17,2%","2,7%","90,2%","35,2%","0,12","4,11","2,00","1,89","48,8%","0,0%","0,0%","0,0%","0,0%","38,4%",,"100,0%","100,0%","103,6%","0,38","4,4%","27,3%","11,9%","16,0%",GH4,SE
Baldim,310500,MG,"145,7%","107,4%","50,4%","31,0%","10,9%","95,1%","35,7%","0,27","2,03","2,56","1,63","52,1%","0,0%","0,0%","0,0%","0,0%","23,9%",,"100,0%","100,0%","108,7%","12,68","10,4%","63,7%","11,0%","14,9%",GH6,SE
Bambuí,310510,MG,"76,5%","92,5%","77,6%","16,9%","3,1%","53,3%","30,2%","0,18","7,52","2,03","2,26","47,7%","0,0%","0,0%","0,0%","0,0%","42,6%",,"100,0%","88,2%","94,5%","2,26","5,0%","31,0%","9,5%","14,6%",GH3,SE
Bandeira,310520,MG,"115,3%","115,3%","66,7%","18,3%","10,3%","76,4%","6,7%","0,04","2,36","0,35","0,74","53,2%","0,0%","0,0%","0,0%","0,0%","44,0%",,"100,0%","100,0%","140,4%","29,25","5,3%","58,7%","10,7%","15,8%",GH6,SE
Bandeira do Sul,310530,MG,"0,0%","0,0%","69,7%","22,5%","4,5%","50,6%","34,8%","0,35","2,64","2,24","1,55","46,1%","0,0%","0,0%","0,0%","0,0%","43,7%",,,,"163,6%","0,00","36,2%","34,4%","11,3%","17,4%",GH5,SE
Barão de Cocais,310540,MG,"99,2%","64,2%","78,5%","17,7%","2,6%","88,9%","57,5%","0,41","3,78","2,25","1,91","41,5%","0,0%","0,0%","0,0%","0,0%","32,2%",,"54,5%","0,0%","104,7%","3,95","2,1%","39,4%","11,9%","14,9%",GH3,SE
Barão de Monte Alto,310550,MG,"162,7%","198,8%","71,7%","23,9%","1,6%","100,5%","29,1%","0,31","4,81","2,62","5,54","55,2%","0,0%","0,0%","0,0%","0,0%","42,8%",,,"100,0%","102,6%","0,03","8,2%","46,5%","12,2%","15,2%",GH6,SE
Barbacena,310560,MG,"73,2%","39,7%","54,5%","40,5%","3,5%","41,1%","17,9%","0,40","3,51","3,56","3,85","54,3%","0,2%","0,1%","0,2%","0,3%","35,1%","0,93","75,0%","100,0%","111,8%","1,73","5,2%","33,6%","10,7%","13,9%",GH2,SE
Barra Longa,310570,MG,"159,9%","146,4%","59,9%","32,0%","4,7%","69,4%","26,4%","0,52","2,62","1,48","1,42","58,5%","0,0%","0,0%","0,0%","0,0%","30,1%",,"100,0%",,"139,3%","3,38","8,0%","57,9%","9,9%","15,8%",GH6,SE
Barroso,310590,MG,"123,8%","59,4%","84,3%","12,8%","2,2%","78,2%","35,4%","0,40","5,31","2,99","3,88","49,5%","0,0%","0,0%","0,0%","0,0%","35,0%",,"90,0%","100,0%","98,0%","2,50","5,9%","33,6%","13,6%","15,4%",GH3,SE
Bela Vista de Minas,310600,MG,"120,2%","20,0%","57,4%","34,1%","4,7%","78,3%","41,3%","0,60","3,08","2,45","1,80","48,6%","0,0%","0,0%","0,0%","0,0%","24,6%",,"25,0%",,"85,5%","13,00","5,3%","52,4%","10,7%","15,9%",GH6,SE
Belmiro Braga,310610,MG,"210,5%","146,9%","69,9%","24,3%","5,8%","64,9%","34,0%","0,08","2,91","3,00","2,99","51,2%","0,0%","0,0%","0,0%","0,0%","22,4%",,"100,0%",,"114,7%","3,19","3,2%","48,5%","12,3%","16,4%",GH5,SE
Belo Horizonte,310620,MG,"80,0%","32,1%","74,3%","19,0%","5,0%","38,8%","24,1%","1,07","3,41","4,44","2,94","60,1%","1,8%","4,3%","3,6%","5,1%","32,8%","1,52","68,9%","79,7%","93,4%","1,03","7,3%","52,0%","10,0%","12,8%",GH1,SE
Belo Oriente,310630,MG,"105,0%","69,8%","52,8%","39,7%","6,1%","64,9%","30,3%","0,30","3,78","1,53","3,26","53,1%","0,0%","0,0%","0,0%","0,0%","37,1%",,"100,0%","75,0%","116,7%","8,71","3,8%","52,4%","12,7%","14,8%",GH5,SE
Belo Vale,310640,MG,"122,9%","61,9%","86,4%","10,1%","1,8%","82,2%","12,1%","0,27","4,99","1,31","2,43","57,2%","0,0%","0,0%","0,0%","0,0%","35,6%",,"0,0%",,"79,8%","0,95","3,6%","35,6%","11,1%","16,4%",GH6,SE
Berilo,310650,MG,"97,5%","113,8%","66,7%","26,3%","4,5%","79,3%","11,3%","0,06","6,30","0,72","1,28","55,9%","0,0%","0,0%","0,0%","0,0%","46,2%",,"100,0%","100,0%","99,2%","3,25","9,2%","64,5%","12,3%","15,2%",GH6,SE
Bertópolis,310660,MG,"118,6%","100,0%","45,8%","37,5%","11,0%","100,8%","23,0%","0,04","5,89","0,99","0,57","53,2%","0,0%","0,0%","0,0%","0,0%","62,9%",,"100,0%","100,0%","85,0%","3,01","4,8%","66,2%","10,3%","15,4%",GH6,SE
Berizal,310665,MG,"145,3%","68,6%","45,0%","41,1%","12,9%","87,6%","4,4%","0,23","3,14","0,58","2,36","55,2%","0,0%","0,0%","0,0%","0,0%","38,0%",,"100,0%","66,7%","101,6%","1,62","18,2%","58,9%","10,4%","15,8%",GH6,SE
Betim,310670,MG,"60,8%","32,6%","75,2%","19,1%","4,0%","62,2%","24,3%","0,61","3,31","3,08","2,10","46,6%","0,0%","0,0%","0,2%","0,0%","25,7%","2,75","68,2%","93,1%","107,4%","1,07","5,1%","54,8%","14,2%","16,1%",GH2,SE
Bias Fortes,310680,MG,"152,8%","131,7%","64,4%","26,7%","8,9%","79,0%","23,8%","0,06","2,55","2,26","3,25","54,3%","0,0%","0,0%","0,0%","0,0%","29,1%",,,,"135,3%","0,00","14,6%","51,1%","10,2%","15,9%",GH6,SE
Bicas,310690,MG,"106,2%","7,3%","80,2%","14,5%","3,0%","76,4%","2,7%","0,33","5,29","3,51","3,21","50,2%","0,0%","0,0%","0,0%","0,0%","38,5%","1,77","50,0%","50,0%","159,2%","0,20","6,7%","44,3%","10,4%","15,3%",GH5,SE
Biquinhas,310700,MG,"247,9%","131,0%","75,0%","21,4%","1,8%","149,0%","41,3%","0,20","2,36","2,60","2,24","52,3%","0,0%","0,0%","0,0%","0,0%","21,3%",,,"100,0%","178,6%","0,00","7,3%","53,3%","10,5%","15,6%",GH5,SE
Boa Esperança,310710,MG,"52,8%","55,8%","76,4%","19,4%","3,2%","90,1%","45,0%","0,16","4,92","2,65","3,02","38,0%","0,0%","0,0%","0,0%","0,0%","35,0%",,"75,0%","100,0%","103,1%","4,52","11,8%","43,5%","11,7%","15,9%",GH3,SE
Bocaina de Minas,310720,MG,"105,0%","46,0%","72,3%","21,7%","4,8%","34,1%","0,0%","0,12","1,43","0,29","0,42","52,2%","0,0%","0,0%","0,0%","0,0%","52,3%",,,"0,0%","152,2%","0,00","0,0%","29,9%","11,5%","15,4%",GH6,SE
Bocaiúva,310730,MG,"88,1%","76,5%","51,9%","36,7%","9,7%","69,2%","13,2%","0,16","4,69","1,87","3,37","40,5%","0,0%","0,0%","0,0%","0,0%","29,7%","2,12","73,3%","83,3%","98,5%","4,72","10,0%","60,1%","10,9%","14,2%",GH4,SE
Bom Despacho,310740,MG,"65,8%","33,4%","80,6%","16,3%","2,5%","74,6%","35,4%","0,31","4,53","2,07","2,25","58,0%","0,0%","0,0%","0,0%","0,0%","31,0%",,"85,7%","93,3%","99,3%","3,82","3,4%","57,7%","9,7%","18,3%",GH3,SE
Bom Jardim de Minas,310750,MG,"139,2%","107,5%","79,1%","16,4%","3,6%","124,6%","2,6%","0,18","5,70","2,09","2,35","49,5%","0,0%","0,0%","0,0%","0,0%","36,6%",,,"100,0%","101,4%","4,01","2,3%","23,5%","12,6%","15,9%",GH6,SE
Bom Jesus da Penha,310760,MG,"81,0%","77,3%","93,0%","4,3%","0,9%","83,9%","77,2%","0,05","4,05","3,35","5,26","53,2%","0,0%","0,0%","0,0%","0,0%","30,6%",,,"92,9%","146,7%","1,24","2,7%","49,0%","12,7%","15,8%",GH5,SE
Bom Jesus do Amparo,310770,MG,"110,1%","0,0%","71,5%","26,1%","2,4%","70,8%","13,3%","0,17","2,57","1,64","1,50","52,2%","0,0%","0,0%","0,0%","0,0%","32,6%",,"0,0%",,"143,6%","0,00","8,9%","61,6%","11,5%","16,0%",GH6,SE
Bom Jesus do Galho,310780,MG,"103,5%","16,3%","50,5%","42,2%","4,7%","78,5%","10,2%","0,25","6,51","1,66","1,89","49,3%","0,0%","0,0%","0,0%","0,0%","43,8%",,"66,7%","63,6%","111,1%","0,00","0,0%","30,5%","14,2%","13,9%",GH6,SE
Bom Repouso,310790,MG,"127,9%","90,4%","77,2%","19,0%","1,3%","79,2%","13,1%","0,33","2,80","1,75","2,41","54,5%","0,0%","0,0%","0,0%","0,0%","27,3%",,,,"106,7%","2,42","15,6%","38,9%","10,5%","15,4%",GH5,SE
Bom Sucesso,310800,MG,"95,7%","97,1%","78,7%","16,3%","3,8%","75,9%","32,3%","0,12","4,50","1,59","1,61","55,3%","0,0%","0,0%","0,0%","0,0%","38,9%",,"100,0%","100,0%","102,1%","7,55","1,7%","41,7%","12,9%","15,7%",GH5,SE
Bonfim,310810,MG,"166,6%","79,5%","78,9%","20,4%","0,7%","88,2%","46,0%","0,22","3,19","1,19","2,37","54,3%","0,0%","0,0%","0,0%","0,0%","27,2%",,,,"132,6%","0,00","5,4%","64,7%","12,1%","15,5%",GH6,SE
Bonfinópolis de Minas,310820,MG,"85,2%","85,2%","54,1%","35,8%","5,7%","43,0%","0,4%","0,19","1,50","1,74","3,48","49,3%","0,0%","0,0%","0,0%","0,0%","21,7%",,"100,0%","50,0%","103,7%","0,11","6,2%","47,1%","9,7%","16,2%",GH5,SE
Bonito de Minas,310825,MG,"111,2%","62,0%","43,0%","44,0%","11,5%","85,0%","2,2%","0,07","1,38","0,44","0,95","52,2%","0,0%","0,0%","0,0%","0,0%","32,3%",,,"66,7%","126,2%","1,23","10,7%","64,8%","10,7%","15,4%",GH6,SE
Borda da Mata,310830,MG,"77,3%","64,1%","88,7%","8,1%","1,9%","69,8%","10,0%","0,46","4,32","2,30","1,91","54,8%","0,0%","0,0%","0,0%","0,0%","35,1%",,"60,0%",,"98,9%","1,17","9,1%","20,4%","9,9%","15,8%",GH5,SE
Botelhos,310840,MG,"33,3%","12,5%","65,6%","29,9%","2,5%","66,2%","19,0%","0,14","3,69","1,90","1,66","47,1%","0,0%","0,0%","0,0%","0,0%","33,1%",,"100,0%","100,0%","157,7%","0,00","54,1%","28,5%","10,3%","15,6%",GH5,SE
Botumirim,310850,MG,"92,4%","64,6%","51,6%","37,0%","7,8%","63,2%","9,1%","0,06","2,99","1,27","1,96","50,2%","0,0%","0,0%","0,0%","0,0%","40,1%",,"66,7%","100,0%","152,2%","3,89","9,2%","72,3%","10,6%","15,5%",GH6,SE
Brasilândia de Minas,310855,MG,"65,0%","77,3%","49,4%","39,8%","8,8%","53,6%","15,9%","0,13","1,84","1,46","2,80","48,4%","0,0%","0,0%","0,0%","0,0%","24,0%",,"100,0%","82,4%","105,3%","0,00","0,0%","47,4%","10,3%","16,0%",GH5,SE
Brasília de Minas,310860,MG,"95,8%","87,0%","54,7%","38,4%","5,7%","69,0%","22,0%","0,07","7,25","1,74","3,85","48,8%","0,1%","0,0%","0,2%","0,0%","37,3%",,"90,0%","100,0%","107,3%","0,00","5,9%","52,1%","15,8%","13,4%",GH4,SE
Brás Pires,310870,MG,"141,6%","103,9%","67,7%","29,8%","2,4%","82,3%","53,3%","0,24","5,25","2,35","3,26","55,9%","0,0%","0,0%","0,0%","0,0%","38,8%",,,,"105,1%","16,61","6,9%","22,7%","12,2%","17,2%",GH6,SE
Braúnas,310880,MG,"113,9%","125,1%","60,8%","31,8%","5,4%","81,7%","20,1%","0,30","3,78","2,02","4,02","51,2%","0,0%","0,0%","0,0%","0,0%","40,5%",,,"100,0%","72,4%","2,67","1,3%","59,9%","11,7%","15,4%",GH5,SE
Brasópolis,310890,MG,"45,9%","73,7%","82,6%","13,5%","1,7%","90,0%","24,9%","0,17","5,84","1,51","1,12","56,3%","0,0%","0,0%","0,0%","0,0%","40,2%",,"100,0%",,"103,8%","4,29","2,4%","42,0%","11,9%","15,9%",GH6,SE
Brumadinho,310900,MG,"119,5%","74,2%","81,2%","15,2%","2,7%","74,7%","44,7%","0,22","4,77","1,68","1,86","58,0%","0,0%","0,0%","0,0%","0,0%","25,2%","1,68","75,0%","100,0%","120,1%","7,70","5,8%","48,0%","12,4%","15,7%",GH3,SE
Bueno Brandão,310910,MG,"57,8%","56,9%","76,4%","19,2%","2,6%","88,2%","18,0%","0,53","7,09","2,34","2,07","56,1%","0,0%","0,0%","0,0%","0,0%","38,7%",,"60,0%",,"124,7%","3,19","4,6%","49,5%","9,7%","15,7%",GH5,SE
Buenópolis,310920,MG,"95,1%","80,2%","57,6%","33,0%","7,4%","90,3%","29,9%","0,17","3,27","1,96","1,69","44,6%","0,0%","0,0%","0,0%","0,0%","41,1%",,"60,0%","89,5%","134,7%","13,59","8,5%","54,5%","11,4%","15,6%",GH6,SE
Bugre,310925,MG,"164,0%","144,1%","57,3%","36,0%","4,7%","89,0%","29,5%","0,23","4,13","1,15","1,88","53,1%","0,0%","0,0%","0,0%","0,0%","39,3%",,"0,0%","50,0%","98,2%","0,00","32,2%","60,0%","11,3%","15,6%",GH6,SE
Buritis,310930,MG,"98,6%","79,9%","67,5%","25,6%","5,5%","97,0%","0,2%","0,13","3,91","0,84","1,05","51,5%","0,0%","0,0%","0,0%","0,0%","43,8%",,"20,0%","96,2%","100,5%","0,97","13,2%","47,0%","10,6%","15,6%",GH5,SE
Buritizeiro,310940,MG,"85,8%","52,3%","51,5%","38,1%","8,7%","78,0%","12,1%","0,16","3,54","1,57","1,85","44,7%","0,0%","0,0%","0,0%","0,0%","45,4%",,"66,7%","96,7%","93,4%","0,88","9,1%","50,0%","12,3%","14,7%",GH6,SE
Cabeceira Grande,310945,MG,"97,5%","93,0%","53,9%","37,3%","7,0%","71,4%","2,3%","0,13","1,48","0,58","0,85","47,7%","0,0%","0,0%","0,0%","0,0%","37,4%",,"100,0%","50,0%","164,6%","4,70","7,9%","55,3%","9,7%","15,7%",GH5,SE
Cabo Verde,310950,MG,"51,2%","72,2%","86,0%","12,2%","1,6%","79,8%","24,8%","0,20","3,65","2,10","1,98","55,6%","0,0%","0,0%","0,0%","0,0%","30,6%","2,24","100,0%","100,0%","109,6%","0,00","6,7%","29,3%","10,4%","16,2%",GH5,SE
Cachoeira da Prata,310960,MG,"122,7%","82,1%","63,9%","21,0%","6,7%","92,9%","53,7%","0,22","2,36","3,19","1,78","51,3%","0,0%","0,0%","0,0%","0,0%","25,5%",,"0,0%",,"93,6%","5,03","3,3%","51,6%","10,8%","15,5%",GH5,SE
Cachoeira de Minas,310970,MG,"94,9%","43,4%","85,1%","11,7%","1,7%","72,5%","11,8%","0,29","2,06","1,63","1,36","47,8%","0,0%","0,0%","0,0%","0,0%","24,2%",,"100,0%",,"112,8%","6,65","6,2%","33,2%","13,4%","15,5%",GH5,SE
Cachoeira Dourada,310980,MG,"119,7%","199,5%","81,3%","18,7%","0,0%","102,8%","76,4%","0,48","2,18","2,32","1,36","49,3%","0,0%","0,0%","0,0%","0,0%","30,0%",,,"100,0%","73,7%","56,17","4,6%","21,5%","10,6%","15,8%",GH5,SE
Caetanópolis,310990,MG,"114,2%","17,9%","54,1%","32,3%","6,0%","69,0%","32,4%","0,38","7,18","1,74","2,43","50,2%","0,0%","0,0%","0,0%","0,0%","46,0%",,"100,0%","100,0%","134,0%","1,44","11,0%","61,0%","8,8%","15,7%",GH5,SE
Caeté,311000,MG,"65,6%","23,7%","73,1%","16,6%","4,9%","52,1%","14,1%","0,34","3,78","2,49","1,84","55,8%","0,0%","0,0%","0,0%","0,0%","29,0%","1,31","75,0%","100,0%","199,2%","5,47","15,0%","56,7%","10,4%","14,9%",GH4,SE
Caiana,311010,MG,"176,4%","210,3%","48,6%","39,2%","9,9%","73,4%","41,1%","0,12","5,82","1,21","2,63","54,1%","0,0%","0,0%","0,0%","0,0%","38,6%",,"66,7%","100,0%","97,0%","4,42","8,3%","35,0%","10,0%","15,8%",GH6,SE
